complaint_id,complaint_text,category,priority,date_received,status
1,The quality assurance on your latest product release is clearly lacking. Please look into this matter.,Service Quality,Medium,2024-06-03,Closed
2,My order shows shipped but the carrier says they never received the package. This needs immediate attention.,Delivery,Medium,2024-05-15,Closed
3,The account verification process keeps failing even with correct documents. I need help with this issue.,Account,Low,2024-04-13,Open
4,The website is extremely slow and keeps timing out. I can't complete any transactions. Please look into this matter.,Technical Support,High,2023-02-24,Open
5,My payment was deducted but the service was not activated. I need an immediate refund. I am very disappointed.,Billing,Medium,2024-04-05,In Progress
6,The mobile app notifications are not working. I'm missing important alerts. I am very disappointed.,Technical Support,Low,2023-10-02,In Progress
7,I was charged full price during the free trial period. This is a billing error. Please look into this matter.,Billing,High,2023-07-28,Open
8,I want to delete my account but there is no option to do so on the website. I need help with this issue.,Account,Low,2023-04-10,Closed
9,The delivery person did not ring the doorbell and left a missed delivery notice. This needs immediate attention.,Delivery,Low,2023-01-31,Open
10,Half of the items in my order are missing. I only received 2 out of 5 items. I am very disappointed.,Delivery,Low,2024-03-26,Closed
11,Someone accessed my account without authorization. I suspect a security breach. This needs immediate attention.,Account,Medium,2024-04-11,Closed
12,My delivery was marked as delivered but I never received it at my address. I am very disappointed.,Delivery,High,2024-04-13,In Progress
13,I was charged twice for my subscription this month. Please refund the extra amount. Expecting a quick resolution.,Billing,Medium,2023-05-21,Open
14,I expect better service for the premium price I'm paying for your subscription. Expecting a quick resolution.,Service Quality,Medium,2023-12-24,Open
15,My account is showing activity from a location I have never been to.,Account,Medium,2024-12-18,In Progress
16,Video calls keep dropping after 5 minutes. My internet connection is fine. Please resolve this urgently.,Technical Support,High,2023-12-25,Open
17,The price increased without any prior notification. This is unfair to loyal customers. Please look into this matter.,Billing,Medium,2024-03-01,Open
18,I cannot change my subscription plan from the account management page. I need help with this issue.,Account,Medium,2023-12-15,In Progress
19,I ordered express shipping but the package is coming via standard delivery. Expecting a quick resolution.,Delivery,Medium,2023-08-05,Open
20,My account profile information was changed without my knowledge. Please resolve this urgently.,Account,High,2023-05-10,In Progress
21,The promised features in the plan I purchased are not available. Please resolve this urgently.,Service Quality,Low,2024-11-28,In Progress
22,The package was left at the wrong address and I had to retrieve it myself. Expecting a quick resolution.,Delivery,Medium,2023-12-11,Closed
